,fraction,success,WL,propsGain,nMinis
0,0.1,0.739076923076923,0.63,-0.001514663229132851,1.0
1,0.05,0.7603076923076924,0.67,-0.0030866192630899514,1.0
2,0.03333333333333333,0.7707692307692308,0.69,0.004338418262468835,1.0
3,0.025,0.7776923076923077,0.74,0.010680405626431133,1.0
4,0.02,0.772,0.7,-0.007448320413436682,1.0
5,0.016666666666666666,0.7850769230769231,0.72,0.019290991289006465,1.0
6,0.014285714285714285,0.7796923076923076,0.81,-0.0008873688588993955,1.0
7,0.0125,0.7855384615384615,0.77,-0.013420884048686799,1.0
8,0.011111111111111112,0.79,0.83,0.018408616331464955,1.0
9,0.01,0.7789230769230769,0.82,-0.027563211125158027,1.0
10,0.2,0.6469230769230769,0.6,-0.002888560643361293,2.0
11,0.1,0.6849230769230769,0.66,-0.0018536585365854785,2.0
12,0.06666666666666667,0.7016923076923078,0.68,-0.020111849741479393,2.0
13,0.05,0.7215384615384616,0.76,0.012144026186579504,2.0
14,0.04,0.7195384615384616,0.79,0.006619879223111136,2.0
15,0.03333333333333333,0.7249230769230769,0.77,0.008704188481675201,2.0
16,0.02857142857142857,0.7298461538461538,0.79,0.007575970407828647,2.0
17,0.025,0.7281538461538462,0.83,-0.017810015898251152,2.0
18,0.022222222222222223,0.73,0.79,-0.003818658619822557,2.0
19,0.02,0.7352307692307692,0.8,-0.013002887391722728,2.0
20,0.3,0.584,0.6,0.008989256741942286,3.0
21,0.15,0.6512307692307693,0.67,-0.005397269110848146,3.0
22,0.1,0.6655384615384615,0.66,-0.002613315983517328,3.0
23,0.075,0.6850769230769231,0.79,0.0022333587536766952,3.0
24,0.06,0.6955384615384615,0.76,0.0198680738786281,3.0
25,0.05,0.7106153846153846,0.81,0.01466710613052058,3.0
26,0.04285714285714286,0.7078461538461538,0.77,-0.0018624796968055302,3.0
27,0.0375,0.7038461538461539,0.76,0.011448559895265387,3.0
28,0.03333333333333333,0.7107692307692308,0.73,0.0019873532068657163,3.0
29,0.03,0.7021538461538461,0.69,-0.018903513427449115,3.0
30,0.4,0.5395384615384615,0.57,-0.01037532871145097,4.0
31,0.2,0.6215384615384615,0.64,-0.00536275062404401,4.0
32,0.13333333333333333,0.6513846153846152,0.74,0.008474989833265445,4.0
33,0.1,0.6655384615384615,0.71,-0.009109830291386456,4.0
34,0.08,0.6687692307692308,0.78,0.009740217033870513,4.0
35,0.06666666666666667,0.6752307692307692,0.69,-0.013608709574127631,4.0
36,0.05714285714285714,0.6883076923076924,0.73,0.0004647272051301332,4.0
37,0.05,0.6901538461538462,0.7,-0.002985678452949281,4.0
38,0.044444444444444446,0.6941538461538461,0.71,-0.0060576742186031485,4.0
39,0.04,0.7046153846153846,0.83,-0.009782136827719334,4.0
40,0.5,0.49046153846153845,0.53,-0.0016804550155118392,5.0
41,0.25,0.5966153846153847,0.52,-0.0024083532682485087,5.0
42,0.16666666666666666,0.6241538461538462,0.71,-0.0009733307377848277,5.0
43,0.125,0.6452307692307693,0.73,0.010247245540398797,5.0
44,0.1,0.6544615384615384,0.64,-0.003185863536695588,5.0
45,0.08333333333333333,0.6592307692307692,0.67,-0.019528277960943474,5.0
46,0.07142857142857142,0.6710769230769231,0.66,-0.0012481047298545933,5.0
47,0.0625,0.6884615384615383,0.71,0.013369729162568067,5.0
48,0.05555555555555555,0.6950769230769231,0.74,0.005339717778503061,5.0
49,0.05,0.6901538461538462,0.7,0.016483299295078968,5.0
50,0.6,0.45646153846153853,0.43,0.006409202958093774,6.0
51,0.3,0.5756923076923077,0.62,-0.0024640878033033164,6.0
52,0.2,0.6207692307692307,0.67,0.012086646558815417,6.0
53,0.15,0.6347692307692308,0.69,-0.005014441591784324,6.0
54,0.12,0.6396923076923077,0.68,-0.006503383822107578,6.0
