,x,bDataA,bCDF_A,bDataB,bCDF_B,below,on,above,totals,losses,pushes,wins,LPWtotal
13,13,0.00013986324098732623,0.00023316276450038894,4.192750862766902e-14,5.280529192983216e-14,8.750424045341512e-08,1.2621704776297214e-07,0.9999997862787071,0.9999999999999953,1.223862666994894e-11,1.7653125367981438e-11,0.00013986321109557353,0.00013986324098732558
14,14,0.0003090864161631761,0.0005422491823088135,1.85313221420135e-13,2.3811851463408766e-13,5.029818560190312e-07,6.39243233811132e-07,0.9999988577749171,1.0000000000000069,1.5546485927202498e-10,1.97581400195242e-10,0.0003090860631169188,0.0003090864161631783
15,15,0.0006375188373997571,0.0011797680521689164,7.644525367400781e-13,1.002571077287339e-12,2.5061896427438865e-06,2.8133042069494185e-06,0.9999946805061217,0.9999999999999715,1.5977431073453951e-09,1.7935344272662388e-09,0.0006375154461222042,0.0006375188373997389
16,16,0.0012327566889126596,0.002412524683826344,2.9564183522820628e-12,3.958989343409657e-12,1.0935011767203805e-05,1.0858620585716572e-05,0.9999782063669937,0.9999999999993466,1.3480208899359133e-08,1.3386037159406805e-08,0.0012327298226657954,0.0012327566889118542
17,17,0.002243534332216337,0.004656058963739799,1.0760990778014312e-11,1.4719980014614168e-11,4.215446449111355e-05,3.705538618648229e-05,0.9999207901505305,1.0000000000012081,9.457498834200773e-08,8.313503110290803e-08,0.0022433566221996023,0.002243534332219047
18,18,0.003856243742996413,0.008512302904831593,3.699261509016621e-11,5.171259605349539e-11,0.0001447214210338416,0.00011260305701870017,0.9997426755363432,1.0000000000143958,5.580810743393012e-07,4.3422483407063084e-07,0.0038552514371435168,0.0038562437430519265
19,19,0.006279355885757766,0.014791658652934858,1.2047492707621922e-10,1.721875223061484e-10,0.0004456386885820765,0.00030664374451421715,0.9992477175636065,0.9999999999967029,2.798323922069234e-06,1.92552520194615e-06,0.006274632036613046,0.006279355885737062
20,20,0.009713802957155508,0.02450546194377944,3.7273646462342134e-10,5.449239951336808e-10,0.0012388062399934026,0.0007526250047536788,0.99800856878793,1.000000000032677,1.203351971739061e-05,7.310850996805463e-06,0.009694458586758731,0.009713802957472928
21,21,0.014311137680576664,0.03881659863546441,1.0982918716053681e-09,1.6432158239426818e-09,0.003127303000397234,0.0016734567464743555,0.9951992401526591,0.9999999998995307,4.475526380756531e-05,2.3949069901284377e-05,0.014242433345429985,0.014311137679138835
22,22,0.020125912879388176,0.058942510685079996,3.089087538305812e-09,4.7323033024905644e-09,0.007208892922418527,0.0033865868985128436,0.9894045202981967,1.000000000119128,0.0001450855509134333,6.81581528779469e-05,0.019912669177994356,0.020125912881785737
23,23,0.02707271704383867,0.08601523159704154,8.31069776827125e-09,1.3043001603239377e-08,0.01525224174254829,0.006264127626815227,0.9784836292488345,0.999999998618198,0.0004129196249802347,0.00016958695476726126,0.026490210426682037,0.027072717006429534
24,24,0.03489993975467878,0.12091516716411503,2.142699851066476e-08,3.446999887680426e-08,0.02976338987073414,0.010631391316928883,0.9596052175477358,0.9999999987353988,0.0010387405133836381,0.00037103491646923314,0.033490164280691403,0.034899939710544274
25,25,0.04319054424246372,0.1641057128304373,5.303424081463689e-08,8.750424045341512e-08,0.05382021350993832,0.01661469927895256,0.9295650892413545,1.0000000020302453,0.0023245243127398346,0.0007175979042828305,0.04014842211312846,0.043190544330151126
26,26,0.05139481658462437,0.21550053361697022,1.2621704776297214e-07,2.137212929175452e-07,0.0905933342822231,0.023987628537772258,0.8854190346535175,0.9999999974735128,0.004656027799224419,0.0012328397689989066,0.045505948886552704,0.05139481645477603
27,27,0.05889243697126745,0.27439296563836163,2.8926057194408354e-07,5.029818560190312e-07,0.1425866042752778,0.03209119377573813,0.8253222006729659,0.9999999987239818,0.008397272605228852,0.001889928606770388,0.04860523568412039,0.05889243689611963
28,28,0.06507368602483452,0.33946664800048454,6.39243233811132e-07,1.142225082851595e-06,0.21078195702920874,0.03989359924182596,0.7493244358927966,0.9999999921638314,0.01371635889141889,0.0025960235514631584,0.04876130307202409,0.06507368551490614
29,29,0.06942426663686266,0.40889093249469227,1.3639644483832034e-06,2.5061896427438865e-06,0.293982987988027,0.046202802869076645,0.6598142151374052,1.000000005994509,0.02040955334478238,0.00320759570575318,0.04580711800249148,0.06942426705302704
30,30,0.07159685212750012,0.48048779176504264,2.8133042069494185e-06,5.31949387828577e-06,0.38864209291623336,0.049972706828559,0.5613852031346617,1.000000002879454,0.027825550457045725,0.003577888501215254,0.040193413375398994,0.07159685233365998
31,31,0.0714555659483132,0.5519433741177606,5.615518317467513e-06,1.0935011767203805e-05,0.4893065263424179,0.05059166840482374,0.4601018025313597,0.9999999972786013,0.03496367476200069,0.0036150562981360763,0.03287683469371735,0.07145556575385412
32,32,0.06908596943621519,0.6210293347306297,1.0858620585716572e-05,2.1793633006284792e-05,0.5895885593484305,0.048042546561342055,0.3623688982440887,1.0000000041538613,0.04073229719108781,0.0033190659033748224,0.025034606628726083,0.06908596972318871
33,33,0.0647708645869176,0.6858001996668741,2.0360831705232857e-05,4.215446449111355e-05,0.6833658592077818,0.042878161018123404,0.27375597235185056,0.9999999925777557,0.04426219753006983,0.0027772555610409196,0.01773141101506167,0.06477086410617242
34,34,0.05893923657731067,0.7447394378184131,3.705538618648229e-05,7.920984946953872e-05,0.765844009323515,0.03603459983205353,0.19812139356143088,1.0000000027169995,0.045138261246834774,0.0021238518044701224,0.01167712368614365,0.05893923673744855
35,35,0.05210029034542861,0.7968397250135882,6.551156865584556e-05,0.0001447214210338416,0.8341936126618238,0.028565361107309308,0.1372410302319771,1.00000000400111,0.043461729423983034,0.001488263607512829,0.007150297522391752,0.05210029055388762
36,36,0.04477558911279778,0.8416153246136724,0.00011260305701870017,0.00025732446365674886,0.8876541323567818,0.021395176695384908,0.09095069589168847,1.000000004943855,0.03974523670468428,0.0009579816407082613,0.004072370988769268,0.04477558933416181
37,37,0.03744063438755271,0.8790559530584646,0.0001883142083521853,0.0004456386885820765,0.9271846784139043,0.01516450336945803,0.05765081986895659,1.000000001652319,0.034714382554235625,0.0005677686263246892,0.0021584832688562633,0.03744063444941658
38,38,0.030483385751974908,0.9095393395572642,0.00030664374451421715,0.0007522824363934889,0.954860420287048,0.010186384622602252,0.03495319471276459,0.9999999996224148,0.02910737853090297,0.0003105154918687698,0.001065491717693093,0.030483385740464834
39,39,0.024182553919005964,0.9337218930730656,0.00048652379982499843,0.0012388062399934026,0.9732326331166947,0.006493837047644012,0.020273529616597674,0.9999999997809365,0.02353525062608062,0.0001570375645458898,0.0004902657230819376,0.024182553913708448
40,40,0.018704482638090426,0.952426376710492,0.0007526250047536788,0.0019914312120700157,0.9848128357105526,0.003934148800068254,0.01125301491699704,0.9999999994276179,0.01842041458731663,7.358621792654093e-05,0.0002104818221411437,0.018704482627384316
