,fraction,success,WL,propsGain,nMinis
0,0.1,0.7468531468531467,0.8181818181818182,0.07156249999999997,1.0
1,0.05,0.7552447552447552,0.9090909090909091,-0.07002724795640336,1.0
2,0.03333333333333333,0.7734265734265733,0.9090909090909091,0.015415415415415357,1.0
3,0.025,0.7664335664335664,0.7272727272727273,-0.007821637426900563,1.0
4,0.02,0.8195804195804196,1.0,0.1499661016949152,1.0
5,0.016666666666666666,0.7622377622377621,0.8181818181818182,0.017853610286844734,1.0
6,0.014285714285714285,0.7818181818181819,0.8181818181818182,-0.07771739130434785,1.0
7,0.0125,0.772027972027972,0.8181818181818182,0.01465773809523796,1.0
8,0.011111111111111112,0.7888111888111888,1.0,-0.03212005108556837,1.0
9,0.01,0.7902097902097903,0.8181818181818182,0.0032153392330382946,1.0
10,0.2,0.6391608391608392,0.6363636363636364,0.009939759036144524,2.0
11,0.1,0.66993006993007,0.6363636363636364,-0.010480349344978102,2.0
12,0.06666666666666667,0.7160839160839161,1.0,0.001368523949168976,2.0
13,0.05,0.6895104895104897,0.8181818181818182,-0.06166666666666665,2.0
14,0.04,0.7244755244755244,0.6363636363636364,-0.0045427728613569585,2.0
15,0.03333333333333333,0.7286713286713287,0.8181818181818182,0.007171117705242036,2.0
16,0.02857142857142857,0.7020979020979021,0.6363636363636364,-0.020175259832892034,2.0
17,0.025,0.7398601398601399,0.8181818181818182,0.06007812499999998,2.0
18,0.022222222222222223,0.7468531468531467,0.5454545454545454,-0.006770327178490354,2.0
19,0.02,0.7538461538461538,0.8181818181818182,-0.032074391988554884,2.0
20,0.3,0.6139860139860139,0.8181818181818182,0.08150163220892237,3.0
21,0.15,0.6097902097902098,0.6363636363636364,-0.04810964083175817,3.0
22,0.1,0.6559440559440559,0.2727272727272727,-0.021679687499999933,3.0
23,0.075,0.66993006993007,0.6363636363636364,0.009535573122529728,3.0
24,0.06,0.683916083916084,0.9090909090909091,0.028142857142857247,3.0
25,0.05,0.6923076923076923,0.5454545454545454,-0.014085188770571078,3.0
26,0.04285714285714286,0.7006993006993008,0.6363636363636364,-0.022979591836734592,3.0
27,0.0375,0.7076923076923077,0.6363636363636364,0.0015548481880509613,3.0
28,0.03333333333333333,0.7020979020979021,0.9090909090909091,-0.008357723577235965,3.0
29,0.03,0.7076923076923077,0.7272727272727273,0.03271805273833661,3.0
30,0.4,0.5174825174825175,0.7272727272727273,-0.029479768786127125,4.0
31,0.2,0.6111888111888112,0.8181818181818182,-0.02508909479686372,4.0
32,0.13333333333333333,0.6447552447552447,1.0,-0.015634218289085733,4.0
33,0.1,0.6727272727272726,0.7272727272727273,0.02854973424449514,4.0
34,0.08,0.6867132867132867,0.8181818181818182,-0.009992716678805524,4.0
35,0.06666666666666667,0.6503496503496503,0.5454545454545454,-0.020114942528735802,4.0
36,0.05714285714285714,0.6909090909090909,0.8181818181818182,0.04210411437302164,4.0
37,0.05,0.683916083916084,0.7272727272727273,0.015007429420505147,4.0
38,0.044444444444444446,0.7104895104895106,0.6363636363636364,-0.019008596448943482,4.0
39,0.04,0.7174825174825175,0.7272727272727273,0.018228228228228227,4.0
40,0.5,0.4699300699300699,0.18181818181818182,-0.02039007092198586,5.0
41,0.25,0.620979020979021,0.5454545454545454,0.0032486709982280093,5.0
42,0.16666666666666666,0.6265734265734266,0.7272727272727273,-0.010597302504817163,5.0
43,0.125,0.6713286713286714,0.8181818181818182,0.013535995160314673,5.0
44,0.1,0.6307692307692307,0.8181818181818182,0.01068019093078787,5.0
45,0.08333333333333333,0.676923076923077,0.8181818181818182,0.033343577135833025,5.0
46,0.07142857142857142,0.6657342657342658,0.7272727272727273,-0.0321226795803069,5.0
47,0.0625,0.6853146853146853,0.8181818181818182,-0.025584378563283883,5.0
48,0.05555555555555555,0.7020979020979021,1.0,-0.03441994849569752,5.0
49,0.05,0.683916083916084,0.45454545454545453,-0.049719416386083015,5.0
50,0.6,0.4433566433566434,0.6363636363636364,-0.001151079136690436,6.0
51,0.3,0.5664335664335665,0.6363636363636364,0.009367088607594942,6.0
52,0.2,0.5818181818181818,0.6363636363636364,-0.004437869822485174,6.0
53,0.15,0.6125874125874126,0.8181818181818182,-0.011573628488931953,6.0
54,0.12,0.6573426573426573,0.8181818181818182,0.022952755905512046,6.0
55,0.1,0.667132867132867,0.6363636363636364,-0.00210887690044137,6.0
56,0.08571428571428572,0.6657342657342658,0.7272727272727273,0.03345088161209042,6.0
57,0.075,0.6657342657342658,0.6363636363636364,0.008427936821322701,6.0
58,0.06666666666666667,0.6447552447552447,0.7272727272727273,-0.035873015873015834,6.0
59,0.06,0.6811188811188811,0.9090909090909091,0.0009024031387934173,6.0
60,0.7,0.37342657342657337,0.36363636363636365,-0.00699037254081214,7.0
61,0.35,0.5706293706293706,0.6363636363636364,-0.0013611229264142155,7.0
62,0.23333333333333334,0.5874125874125874,0.2727272727272727,-0.01572972233620562,7.0
63,0.175,0.5944055944055944,0.7272727272727273,-0.022265135699373606,7.0
64,0.14,0.5958041958041959,0.5454545454545454,0.004397102684277954,7.0
65,0.11666666666666667,0.6573426573426573,1.0,0.01577777777777789,7.0
66,0.1,0.6475524475524476,0.7272727272727273,0.009356477561388798,7.0
67,0.0875,0.6811188811188811,0.5454545454545454,-0.02205038918476032,7.0
68,0.07777777777777778,0.676923076923077,0.8181818181818182,-0.01085120207927237,7.0
69,0.07,0.6587412587412588,0.6363636363636364,-0.0059355378819587745,7.0
70,0.8,0.33426573426573425,0.45454545454545453,0.0041587901701323204,8.0
71,0.4,0.5272727272727272,0.45454545454545453,-0.003603603603603567,8.0
72,0.26666666666666666,0.5804195804195804,0.5454545454545454,-0.009693372898120778,8.0
73,0.2,0.634965034965035,0.6363636363636364,0.012434847356664225,8.0
74,0.16,0.5916083916083916,0.5454545454545454,-0.025465032444124014,8.0
75,0.13333333333333333,0.6559440559440559,0.8181818181818182,0.032671755725190765,8.0
76,0.11428571428571428,0.6531468531468532,0.6363636363636364,0.02325581395348819,8.0
77,0.1,0.6643356643356644,0.6363636363636364,0.020060675009480278,8.0
78,0.08888888888888889,0.7146853146853147,0.9090909090909091,0.029916826615483005,8.0
79,0.08,0.66993006993007,0.8181818181818182,-0.0015035355414960705,8.0
80,0.9,0.22937062937062935,0.18181818181818182,-9.624639076044605e-05,9.0
81,0.45,0.48531468531468536,0.6363636363636364,-0.021949235274975498,9.0
82,0.3,0.579020979020979,0.45454545454545453,0.019879316124706836,9.0
83,0.225,0.6083916083916084,0.8181818181818182,0.005821917808219279,9.0
84,0.18,0.6237762237762238,0.7272727272727273,-0.004837027379400505,9.0
85,0.15,0.6111888111888112,0.6363636363636364,-0.005085022890778057,9.0
86,0.12857142857142856,0.6111888111888112,0.7272727272727273,-0.010263072426112352,9.0
87,0.1125,0.6503496503496503,0.9090909090909091,-8.223684210506566e-05,9.0
88,0.1,0.6377622377622377,0.7272727272727273,0.02890677397719643,9.0
89,0.09,0.6559440559440559,0.8181818181818182,-0.022655349135169867,9.0
